time,P,G(i),H_sun,T2m,WS10m,Int
20230109:1211,543.1,622.56,14.93,6.93,5.79,0.0
20230109:1311,471.32,541.11,14.93,7.46,5.72,0.0
20230109:1411,231.44,273.44,12.69,7.61,5.59,0.0
20230109:1511,75.15,101.89,8.42,7.43,5.1,0.0
20230109:1611,0.0,4.6,2.45,7.05,4.21,0.0
20230109:1711,0.0,0.0,0.0,6.63,3.66,0.0
20230109:1811,0.0,0.0,0.0,6.3,3.1,0.0
20230109:1911,0.0,0.0,0.0,5.75,2.55,0.0
20230109:2011,0.0,0.0,0.0,5.41,2.34,0.0
20230109:2111,0.0,0.0,0.0,5.13,2.48,0.0
20230109:2211,0.0,0.0,0.0,5.21,2.62,0.0
20230109:2311,0.0,0.0,0.0,5.36,3.03,0.0
20230110:0011,0.0,0.0,0.0,5.59,4.0,0.0
20230110:0111,0.0,0.0,0.0,5.6,5.38,0.0
20230110:0211,0.0,0.0,0.0,6.09,6.0,0.0
20230110:0311,0.0,0.0,0.0,6.88,6.07,0.0
20230110:0411,0.0,0.0,0.0,8.09,5.24,0.0
20230110:0511,0.0,0.0,0.0,9.85,4.97,0.0
20230110:0611,0.0,0.0,0.0,11.34,5.45,0.0
20230110:0711,0.0,0.0,0.0,11.78,5.45,0.0
20230110:0811,0.0,0.0,0.0,11.99,5.45,0.0
20230110:0911,0.0,3.45,2.52,12.18,5.59,0.0
20230110:1011,11.58,25.75,8.51,12.37,5.79,0.0
20230110:1111,14.15,29.43,12.8,12.52,6.0,0.0
20230110:1211,17.48,34.03,15.06,12.61,6.62,0.0
20230110:1311,18.84,35.87,15.08,12.7,6.97,0.0
20230110:1411,19.6,36.79,12.86,11.9,7.17,0.0
20230110:1511,9.19,22.07,8.59,10.2,6.21,0.0
20230110:1611,0.0,1.84,2.62,9.07,5.79,0.0
20230110:1711,0.0,0.0,0.0,8.34,5.93,0.0
20230110:1811,0.0,0.0,0.0,8.03,5.38,0.0
20230110:1911,0.0,0.0,0.0,7.44,4.55,0.0
20230110:2011,0.0,0.0,0.0,6.88,4.48,0.0
20230110:2111,0.0,0.0,0.0,6.52,4.76,0.0
20230110:2211,0.0,0.0,0.0,6.24,4.9,0.0
20230110:2311,0.0,0.0,0.0,6.09,4.76,0.0
20230111:0011,0.0,0.0,0.0,6.0,4.83,0.0
20230111:0111,0.0,0.0,0.0,6.26,5.1,0.0
20230111:0211,0.0,0.0,0.0,6.07,5.17,0.0
20230111:0311,0.0,0.0,0.0,6.14,5.17,0.0
20230111:0411,0.0,0.0,0.0,6.2,5.03,0.0
20230111:0511,0.0,0.0,0.0,6.36,5.52,0.0
20230111:0611,0.0,0.0,0.0,6.31,5.72,0.0
20230111:0711,0.0,0.0,0.0,6.54,5.38,0.0
20230111:0811,0.0,0.0,0.0,6.55,5.38,0.0
20230111:0911,0.0,2.59,2.61,6.62,5.72,0.0
20230111:1011,67.72,92.96,8.62,6.45,5.86,0.0
20230111:1111,228.26,267.9,12.93,6.22,6.14,0.0
20230111:1211,75.93,102.7,15.21,6.43,5.93,0.0
20230111:1311,120.97,152.27,15.24,6.54,6.34,0.0
20230111:1411,127.87,160.01,13.02,6.87,5.1,0.0
20230111:1511,50.92,74.2,8.76,7.37,4.9,0.0
20230111:1611,0.0,2.76,2.8,7.71,4.97,0.0
20230111:1711,0.0,0.0,0.0,7.95,5.31,0.0
20230111:1811,0.0,0.0,0.0,8.23,4.9,0.0
20230111:1911,0.0,0.0,0.0,9.26,5.86,0.0
20230111:2011,0.0,0.0,0.0,10.3,7.31,0.0
20230111:2111,0.0,0.0,0.0,11.08,7.86,0.0
20230111:2211,0.0,0.0,0.0,11.44,8.34,0.0
20230111:2311,0.0,0.0,0.0,11.12,7.59,0.0
20230112:0011,0.0,0.0,0.0,10.96,6.34,0.0
20230112:0111,0.0,0.0,0.0,10.86,5.72,0.0
20230112:0211,0.0,0.0,0.0,10.96,5.24,0.0
20230112:0311,0.0,0.0,0.0,10.77,4.62,0.0
20230112:0411,0.0,0.0,0.0,10.64,4.48,0.0
20230112:0511,0.0,0.0,0.0,10.73,4.83,0.0
20230112:0611,0.0,0.0,0.0,10.81,5.72,0.0
20230112:0711,0.0,0.0,0.0,10.09,6.41,0.0
20230112:0811,0.0,0.0,0.0,9.03,6.97,0.0
20230112:0911,3.06,12.08,2.71,7.93,6.62,0.0
20230112:1011,6.29,17.47,8.73,7.69,6.9,0.0
20230112:1111,344.47,396.48,13.06,7.75,7.45,0.0
20230112:1211,425.97,486.45,15.36,8.09,8.83,0.0
20230112:1311,346.55,398.53,15.41,8.17,8.83,0.0
20230112:1411,222.44,262.49,13.2,7.81,9.17,0.0
20230112:1511,126.38,158.71,8.95,7.82,8.14,0.0
20230112:1611,0.0,1.84,2.98,7.43,7.45,0.0
20230112:1711,0.0,0.0,0.0,7.19,7.38,0.0
20230112:1811,0.0,0.0,0.0,7.21,7.31,0.0
20230112:1911,0.0,0.0,0.0,6.82,7.52,0.0
20230112:2011,0.0,0.0,0.0,6.79,7.66,0.0
20230112:2111,0.0,0.0,0.0,6.85,7.45,0.0
20230112:2211,0.0,0.0,0.0,6.98,7.03,0.0
20230112:2311,0.0,0.0,0.0,6.84,6.83,0.0
20230113:0011,0.0,0.0,0.0,7.09,6.69,0.0
20230113:0111,0.0,0.0,0.0,7.06,6.55,0.0
20230113:0211,0.0,0.0,0.0,6.94,6.28,0.0
20230113:0311,0.0,0.0,0.0,6.8,6.34,0.0
20230113:0411,0.0,0.0,0.0,6.68,5.93,0.0
20230113:0511,0.0,0.0,0.0,6.82,6.21,0.0
20230113:0611,0.0,0.0,0.0,6.65,5.79,0.0
20230113:0711,0.0,0.0,0.0,6.16,5.31,0.0
20230113:0811,0.0,0.0,0.0,6.12,4.9,0.0
20230113:0911,0.0,3.45,2.81,5.99,4.34,0.0
20230113:1011,268.55,314.23,8.85,6.17,3.93,0.0
20230113:1111,451.29,521.24,13.2,6.77,3.79,0.0
20230113:1211,91.36,120.7,15.52,7.47,3.03,0.0
20230113:1311,526.47,614.52,15.58,8.0,3.45,0.0
20230113:1411,43.66,66.16,13.38,8.1,3.03,0.0
20230113:1511,21.38,38.63,9.13,8.11,3.52,0.0
20230113:1611,0.0,3.68,3.17,7.69,3.24,0.0
20230113:1711,0.0,0.0,0.0,7.38,3.72,0.0
20230113:1811,0.0,0.0,0.0,7.67,4.14,0.0
20230113:1911,0.0,0.0,0.0,8.1,4.07,0.0
20230113:2011,0.0,0.0,0.0,8.25,3.93,0.0
20230113:2111,0.0,0.0,0.0,8.43,3.72,0.0
20230113:2211,0.0,0.0,0.0,8.82,3.31,0.0
20230113:2311,0.0,0.0,0.0,9.09,2.9,0.0
20230114:0011,0.0,0.0,0.0,8.94,2.55,0.0
20230114:0111,0.0,0.0,0.0,8.65,3.17,0.0
20230114:0211,0.0,0.0,0.0,8.29,2.97,0.0
20230114:0311,0.0,0.0,0.0,7.63,3.24,0.0
20230114:0411,0.0,0.0,0.0,7.07,3.59,0.0
20230114:0511,0.0,0.0,0.0,6.74,4.07,0.0
20230114:0611,0.0,0.0,0.0,6.26,4.48,0.0
20230114:0711,0.0,0.0,0.0,5.87,4.76,0.0
20230114:0811,0.0,0.0,0.0,4.99,4.97,0.0
20230114:0911,4.13,13.8,2.92,4.59,4.97,0.0
20230114:1011,42.87,64.05,8.98,4.53,5.31,0.0
20230114:1111,83.16,109.89,13.35,4.88,5.79,0.0
20230114:1211,11.37,24.83,15.68,5.41,5.03,0.0
20230114:1311,530.22,605.89,15.76,5.66,5.1,0.0
20230114:1411,5.25,15.64,13.57,4.5,4.62,0.0
20230114:1511,164.25,198.25,9.33,4.54,4.55,0.0
20230114:1611,1.15,8.28,3.36,4.4,5.52,0.0
20230114:1711,0.0,0.0,0.0,3.87,4.97,0.0
20230114:1811,0.0,0.0,0.0,3.37,4.97,0.0
20230114:1911,0.0,0.0,0.0,2.99,5.31,0.0
20230114:2011,0.0,0.0,0.0,2.8,4.83,0.0
20230114:2111,0.0,0.0,0.0,2.71,4.83,0.0
20230114:2211,0.0,0.0,0.0,2.86,5.1,0.0
20230114:2311,0.0,0.0,0.0,2.92,5.1,0.0
20230115:0011,0.0,0.0,0.0,3.26,5.1,0.0
20230115:0111,0.0,0.0,0.0,3.42,5.31,0.0
20230115:0211,0.0,0.0,0.0,3.59,5.17,0.0
20230115:0311,0.0,0.0,0.0,3.84,5.1,0.0
20230115:0411,0.0,0.0,0.0,3.79,4.62,0.0
20230115:0511,0.0,0.0,0.0,3.72,3.86,0.0
20230115:0611,0.0,0.0,0.0,3.62,3.17,0.0
20230115:0711,0.0,0.0,0.0,3.91,3.45,0.0
20230115:0811,0.0,0.0,0.0,4.18,3.72,0.0
20230115:0911,0.0,3.45,3.04,4.2,4.14,0.0
20230115:1011,5.25,15.64,9.12,4.54,4.28,0.0
20230115:1111,110.96,140.66,13.51,5.1,4.21,0.0
20230115:1211,396.47,458.05,15.86,5.78,2.97,0.0
20230115:1311,187.78,225.84,15.95,6.28,3.17,0.0
20230115:1411,209.53,249.04,13.77,5.77,3.03,0.0
20230115:1511,43.87,65.56,9.52,5.27,2.76,0.0
20230115:1611,99.63,131.57,3.56,4.73,2.21,0.0
20230115:1711,0.0,0.0,0.0,3.96,1.66,0.0
20230115:1811,0.0,0.0,0.0,3.28,1.45,0.0
20230115:1911,0.0,0.0,0.0,2.91,1.1,0.0
20230115:2011,0.0,0.0,0.0,2.41,1.66,0.0
20230115:2111,0.0,0.0,0.0,2.48,1.86,0.0
20230115:2211,0.0,0.0,0.0,2.11,2.0,0.0
20230115:2311,0.0,0.0,0.0,2.13,2.07,0.0
20230116:0011,0.0,0.0,0.0,1.93,2.0,0.0
20230116:0111,0.0,0.0,0.0,1.76,2.0,0.0
